City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Dajal,PK,2021-04-05 04:51:31,29.5577,70.3762,88.11,14,85,25.52,overcast clouds
248,Norman Wells,CA,2021-04-05 04:51:31,65.282,-126.8329,30.2,47,75,4.61,broken clouds
249,Tatawin,TN,2021-04-05 04:51:31,32.9297,10.4518,55.58,91,80,18.86,broken clouds
250,Lunglei,IN,2021-04-05 04:51:32,22.8833,92.7333,91.89,11,54,4.18,broken clouds
251,Saint-Philippe,RE,2021-04-05 04:51:32,-21.3585,55.7679,86.0,70,20,5.75,few clouds
252,Adrar,MR,2021-04-05 04:51:32,20.5022,-10.0711,72.3,13,10,10.71,clear sky
253,Yeppoon,AU,2021-04-05 04:51:32,-23.1333,150.7333,77.0,83,75,6.91,light rain
254,High Level,CA,2021-04-05 04:51:33,58.5169,-117.136,32.0,59,75,2.66,broken clouds
255,California City,US,2021-04-05 04:51:33,35.1258,-117.9859,71.01,27,1,24.16,clear sky
256,Alta Floresta,BR,2021-04-05 04:51:33,-9.8756,-56.0861,72.23,94,100,2.33,overcast clouds
257,Marsh Harbour,BS,2021-04-05 04:51:33,26.5412,-77.0636,67.91,52,27,11.97,scattered clouds
